timeOpen,close,marketCap
2020-12-18,1.36826361,4864145.043
2020-12-17,1.27768759,4541759.531
2020-12-16,1.42846344,5077292.897
2020-12-15,1.34865974,4793229.782
2020-12-14,1.38510658,4922345.976
2020-12-13,1.34082915,4764586.354
2020-12-12,1.38770632,4930750.797
2020-12-11,1.21295531,4309455.38
2020-12-10,1.28803017,4575797.003
2020-12-09,1.30895437,4649731.792
2020-12-08,1.27555832,4530712.829
2020-12-07,1.17997832,4190858.824
2020-12-06,1.31153578,4657699.68
2020-12-05,1.30017391,4616950.378
2020-12-04,1.3418696,4764600.798
2020-12-03,1.36698988,4853376.38
2020-12-02,1.36854565,4858484.409
2020-12-01,1.20031418,4260881.513
2020-11-30,1.5598395,5536643.492
2020-11-29,1.39226416,4940920.659
2020-11-28,1.29946997,4611609.075
2020-11-27,1.3425141,4764018.062
2020-11-26,1.29606842,4598799.289
2020-11-25,1.40644363,4990006.388
2020-11-24,1.16445727,4131091.164
2020-11-23,1.19873009,4252310.654
2020-11-22,1.20473402,4273238.526
2020-11-21,1.13326606,4019390.355
2020-11-20,1.03589836,3673733.418
2020-11-19,1.04365965,3700936.759
2020-11-18,0.93815655,3326519.563
2020-11-17,1.02070523,3618902.53
2020-11-16,0.93592016,3318009.124
2020-11-15,0.9720598,3445829.836
2020-11-14,0.76041296,2695330.866
2020-11-13,0.76638209,2716251.883
2020-11-12,0.81580192,2891155.444
2020-11-11,0.77265096,2737990.494
2020-11-10,0.75465471,2673984.123
2020-11-09,0.71880156,2546722.602
2020-11-08,0.71685893,2539616.557
2020-11-07,0.69367633,2457271.338
2020-11-06,0.74170984,2627189.59
2020-11-05,0.74693419,2645460.571
2020-11-04,0.64602959,2287880.847
2020-11-03,0.8067488,2856806.54
2020-11-02,0.79861172,2827740.383
2020-11-01,0.79010928,2797390.74
2020-10-31,0.74040273,2621168.204
2020-10-30,0.75434169,2670277.233
2020-10-29,0.79530395,2815027.517
2020-10-28,0.82963475,2936283.032
2020-10-27,0.89994862,3184855.336
2020-10-26,0.95369,3374745.24
2020-10-25,0.88570027,3133877.141
2020-10-24,0.99535046,3521535.756
2020-10-23,0.95207919,3368142.371
2020-10-22,0.91108175,3222363.78
2020-10-21,0.78487622,2775993.175
2020-10-20,0.96318773,3406527.358
2020-10-19,1.00613874,3558112.71
2020-10-18,0.94746874,3350331.804
2020-10-17,0.98373055,3478243.313
2020-10-16,0.94235421,3331648.58
2020-10-15,0.94710496,3348142.893
2020-10-14,0.88949068,3144184.59
2020-10-13,0.87907049,3107070.998
2020-10-12,0.93338238,3298714.213
2020-10-11,1.00045945,3535347.055
2020-10-10,0.99980009,3532695.983
2020-10-09,0.9519514,3363321.309
2020-10-08,0.9974628,3523796.864
2020-10-07,0.89172351,3149958.627
2020-10-06,0.78657202,2778263.898
2020-10-05,0.73505098,2596050.358
2020-10-04,0.71727786,2533045.527
2020-10-03,0.66542417,2349713.088
2020-10-02,0.66651808,2353360.254
2020-10-01,0.59951189,2116579.167
2020-09-30,0.60400073,2132232.248
2020-09-29,0.59875304,2113513.696
2020-09-28,0.59219313,2090166.21
2020-09-27,0.54883971,1936970.165
2020-09-26,0.51222061,1807567.923
2020-09-25,0.53621039,1892052.255
2020-09-24,0.5376754,1897047.266
2020-09-23,0.47543782,1677303.92
2020-09-22,0.50988476,1798744.34
2020-09-21,0.478999829,1689633.212
2020-09-20,0.475770675,1678087.13
2020-09-19,0.505817979,1783902.595
2020-09-18,0.507319779,1789034.563
2020-09-17,0.479197107,1689696.677
2020-09-16,0.471374971,1661951.133
2020-09-15,0.423959007,1494626.03
